USRA,2
HEM,2
UGD,2
SPX,2
SPY,4
SPZ,2
BSDP,2
SPP,2
SPQ,2
SPR,4
SPT,2
MSSD,2
SPV,2
HEI,2
SPJ,4
SPK,2
BSDA,2
RKJE,2
SPO,2
BSDL,2
SPC,3
SPD,2
SPE,2
SPF,2
MLNH,2
KADI,2
JNP,2
PQD,2
PQE,2
JNU,3
JNT,2
PQH,2
JNZ,2
JNX,2
PQL,2
PQM,2
PQN,2
KUPR,2
PQS,2
PQU,2
JNE,2
JND,3
JNK,2
KFPR,2
PQZ,2
JNH,4
JNO,2
JNN,2
JNM,2
JNL,2
BEJ,2
BEK,2
BEH,2
BEI,2
BEO,2
BEM,1
BEB,2
BEC,3
BEA,2
BEF,2
BEG,2
BEE,2
BEY,2
BER,2
BEP,2
BEQ,3
BEW,2
DJRZ,1
BEU,2
BIRP,2
MIYN,2
BIRA,2
BIRD,2
GRV,2
GRU,2
GRR,2
GRS,2
GRP,2
PPNI,2
GRZ,2
GRX,2
GRY,2
GRF,2
GRG,2
GRD,1
GRE,2
GRB,3
GRA,2
GRN,2
GRO,2
GRL,3
GRM,2
GRJ,2
PPNS,2
GRH,2
GRI,2
NOL,2
NOH,2
HLZ,1
NOK,2
HLW,2
HLV,2
TJM,2
HLR,2
HLP,2
HLN,2
HLK,2
NOY,2
TJW,2
HLG,2
HLE,2
HLD,2
HLB,2
SMDM,2
STPD,4
DLDE,2
SMDC,2
STPT,2
SMDT,2
SMDP,2
PNDR,2
PNDP,2
PNDM,2
KTOA,2
SPL,2
BAWA,2
SPN,3
BAWD,2
DIVA,5
RLL,2
RLO,2
EDA,2
RLK,2
LMP,5
RLD,2
RLG,2
RLA,3
LMU,2
LMK,2
RLX,2
LMN,2
EDU,2
LMA,2
RLW,2
LMC,2
LMD,2
RLP,2
RLS,2
RLR,2
DPW,2
MOTA,2
DPU,2
MOTC,2
DPS,2
BMNL,2
MOTG,2
MOTH,2
PLT,2
DPZ,2
DPX,2
DPE,2
DPD,2
DPC,2
DPA,2
DPL,2
DPK,2
DPJ,2
DPI,2
DPH,3
LD,3
LC,2
LO,2
KNYR,2
LM,2
LH,2
LW,2
LT,2
LR,2
