STN1,STN2,Weight,Bins,Frequency,Intervals
GDR,RU,33,,,
KGQ,MAJN,33,,,
CTO,KPD,33,,,
BSP,R,33,,,
TK,YPR,33,,,
MSH,ADI,33,,,
BIRD,BSR,32,,,
SRC,HWH,32,,,
BAP,ANG,32,,,
STR,PUNE,32,,,
LDH,PHR,32,,,
NH,BDC,32,,,
KGP,TATA,32,,,
MCI,BPA,32,,,
MAS,PER,32,,,
BSL,MKU,32,,,
MMR,JL,32,,,
SBI,ADI,32,,,
AWY,AFK,32,,,
SKB,FZD,32,,,
BOE,KNE,32,,,
TDL,CNB,31,,,
KZE,KGQ,31,,,
LDH,PGW,31,,,
JHS,ORAI,31,,,
LKO,ON,31,,,
ETW,CNB,31,,,
AKP,DVD,31,,,
UBL,HVR,31,,,
KYJ,MVLK,31,,,
MVLK,CNGR,31,,,
SSM,BBU,31,,,
KLD,GKP,31,,,
NOK,NGO,30,,,
BAQ,BHS,30,,,
BAM,CAP,30,,,
ATP,GY,30,,,
JHS,DAA,30,,,
LKO,BE,30,,,
MZP,CAR,30,,,
IJK,CKI,30,,,
ANND,ADI,30,,,
PNME,GMO,30,,,
TMV,VM,30,,,
PURI,SIL,30,,,
BD,WR,30,,,
TIG,KSNG,30,,,
BBK,GD,30,,,
WL,RDM,30,,,
ED,KRR,30,,,
ANGL,TLHD,30,,,
FA,ABR,30,,,
FK,CLT,30,,,
JU,LUNI,30,,,
TDD,EE,29,,,
RJN,DGG,29,,,
MJ,PMY,29,,,
MGS,MZP,29,,,
KKDE,UMB,29,,,
MEJ,CVP,29,,,
NYN,ALD,29,,,
RK,LRJ,29,,,
MKA,HTZ,29,,,
SEGM,HGT,29,,,
RTM,MGN,29,,,
HVR,RNR,29,,,
BER,AII,28,,,
MRA,DHO,28,,,
RJT,SUNR,28,,,
FTP,CNB,28,,,
FL,KSG,28,,,
GDR,MAS,28,,,
KGG,MNE,28,,,
FUT,KOO,28,,,
BWT,JTJ,28,,,
WADI,SDB,28,,,
RC,MALM,28,,,
RK,HW,28,,,
MKN,DNA,28,,,
SDB,GR,28,,,
J,AWB,28,,,
TMV,MLMR,28,,,
KUR,SIL,28,,,
PKR,RPH,28,,,
KWV,SUR,28,,,
NBD,LRJ,28,,,
G,DURG,28,,,
ADI,BRC,28,,,
TUNI,ANV,28,,,
FDB,MTJ,28,,,
LMG,DPU,27,,,
DPU,DMV,27,,,
LKO,CNB,27,,,
LKR,BRYA,27,,,
GZB,NDLS,27,,,
GZB,PKW,27,,,
NED,MUE,27,,,
MEJ,TEN,27,,,
BRYA,HTZ,27,,,
KIR,NNA,27,,,
BWN,BHP,27,,,
VAPI,BSR,27,,,
PAU,PBN,27,,,
CKP,TATA,27,,,
KMT,WL,27,,,
JUC,JRC,27,,,
TMR,BRD,27,,,
AK,SEG,27,,,
PKR,NFK,27,,,
ASK,TTR,27,,,
R,BYT,27,,,
KYN,LTT,27,,,
DO,GADJ,27,,,
RRB,DVG,27,,,
UMB,CDG,27,,,
PKW,HPU,27,,,
HRR,RNR,27,,,
HRR,DVG,27,,,
TIR,KTU,27,,,
BIRD,KYN,26,,,
DPA,JP,26,,,
LD,BGM,26,,,
WKI,TCR,26,,,
SRR,TIR,26,,,
BAP,KPG,26,,,
BAM,BALU,26,,,
STA,ALD,26,,,
STR,KRD,26,,,
KGG,BGS,26,,,
KGI,SBC,26,,,
BIH,BPL,26,,,
BIH,SEH,26,,,
KOTA,RMA,26,,,
SNT,RPH,26,,,
CKI,AFK,26,,,
BUP,SGG,26,,,
BSL,AK,26,,,
PGT,PTJ,26,,,
GHD,DTO,26,,,
ASK,RRB,26,,,
TRVL,CGY,26,,,
CGY,KTYM,26,,,
KYJ,KPY,26,,,
DNA,MTD,26,,,
DNR,ARA,26,,,
AME,PBH,26,,,
SIR,RPJ,26,,,
CLT,TIR,26,,,
DURE,BXR,26,,,
BCY,BSB,25,,,
STA,MYR,25,,,
KIUL,MKA,25,,,
HBJ,HBD,25,,,
NGP,PAR,25,,,
BKP,KOO,25,,,
MAO,KAWR,25,,,
KMC,NZB,25,,,
QLD,CLT,25,,,
RE,GGN,25,,,
PGW,PHR,25,,,
JUD,UMB,25,,,
AH,BTE,25,,,
KWV,DD,25,,,
UD,MAJN,25,,,
SWM,GGC,25,,,
BNC,KJM,25,,,
KTHU,JAT,25,,,
MYR,KTE,25,,,
PNP,UMB,24,,,
PND,APR,24,,,
DNKL,TLHD,24,,,
DMM,HUP,24,,,
DMO,SGO,24,,,
NAD,KUH,24,,,
HBJ,ET,24,,,
ND,MHD,24,,,
DKJ,KMT,24,,,
CPR,SIP,24,,,
SLO,VSKP,24,,,
CRP,BKSC,24,,,
FD,AY,24,,,
DAA,DBA,24,,,
IJK,TCR,24,,,
KRNT,GWD,24,,,
KRNT,DHNE,24,,,
BUP,JMP,24,,,
SBP,SBPD,24,,,
WADI,GR,24,,,
COR,BHL,24,,,
OKHA,DWK,24,,,
BQA,ADRA,24,,,
ASKN,GUNA,24,,,
TK,TTR,24,,,
AD,MALM,24,,,
R,TLD,24,,,
PMY,LUNI,24,,,
DLK,KNE,24,,,
JMP,AHA,24,,,
BOE,MLDT,24,,,
HD,KNW,24,,,
SPJ,DSS,23,,,
SPJ,DBG,23,,,
JNU,SHG,23,,,
PNC,PNBE,23,,,
TDD,NDD,23,,,
VAK,QLN,23,,,
NCB,NJP,23,,,
GDV,BZA,23,,,
MEX,DZA,23,,,
GZB,MTC,23,,,
KEI,BSB,23,,,
MZR,BD,23,,,
MZR,AK,23,,,
BOY,BSB,23,,,
ON,LJN,23,,,
MDU,KQN,23,,,
KGQ,MAQ,23,,,
KGQ,CAN,23,,,
CPH,BSP,23,,,
BONA,ANGL,23,,,
DGR,UDL,23,,,
VAPI,BVI,23,,,
CTO,TPTY,23,,,
MOZ,DBD,23,,,
AKV,BH,23,,,
BST,GD,23,,,
BSR,PNVL,23,,,
QLN,TVC,23,,,
ST,NDB,23,,,
BPHB,DURG,23,,,
BDJ,TLY,23,,,
PRG,ALD,23,,,
RTM,BRC,23,,,
DG,KRR,23,,,
ALJN,KRJ,23,,,
SKM,KVZ,23,,,
NDO,BPP,23,,,
NDLS,CNB,23,,,
BTE,MTJ,23,,,
GOTN,MTD,23,,,
SPT,PSA,22,,,
SPN,LKO,22,,,
WKR,SUNR,22,,,
BCY,ARJ,22,,,
SRC,SHM,22,,,
MV,SY,22,,,
DOS,AUBR,22,,,
BAM,IPM,22,,,
LKO,RBL,22,,,
NH,KOAA,22,,,
NLR,BTTR,22,,,
MKC,UJN,22,,,
FTP,ALD,22,,,
DKJ,MABD,22,,,
NGP,KATL,22,,,
NGP,BRD,22,,,
HYB,SC,22,,,
GIMB,BCOB,22,,,
BKP,FUT,22,,,
JBP,SHR,22,,,
VAPI,ST,22,,,
KMT,MDR,22,,,
BTTR,KVZ,22,,,
QLD,BDJ,22,,,
AII,JP,22,,,
KQN,DG,22,,,
SY,CDM,22,,,
UDZ,RPZ,22,,,
KUH,RTM,22,,,
GLPT,NBQ,22,,,
TIG,KBJ,22,,,
CGL,VM,22,,,
BYT,TLD,22,,,
DLI,DSA,22,,,
RTA,GUNA,22,,,
BCOB,SIOB,22,,,
ET,HD,22,,,
RPZ,MVJ,22,,,
ALJN,HRS,22,,,
DDN,HW,22,,,
KTE,SHR,22,,,
YPR,SBC,22,,,
PNBE,ARA,22,,,
MURI,BKSC,22,,,
SPE,MAS,21,,,
LD,DWR,21,,,
KKLR,AKVD,21,,,
DMN,PLO,21,,,
SRE,UMB,21,,,
VAK,TVC,21,,,
BAB,JHS,21,,,
NCB,DQG,21,,,
LKO,NHH,21,,,
NU,KY,21,,,
RAIR,BONA,21,,,
NGP,ET,21,,,
MGS,PNBE,21,,,
BKP,MKA,21,,,
KGP,PKU,21,,,
RGDA,PVPT,21,,,
JBP,MML,21,,,
DGG,G,21,,,
DGR,PAN,21,,,
PC,JL,21,,,
PC,CSN,21,,,
BRWD,DTO,21,,,
RU,KHT,21,,,
UDL,RNG,21,,,
PER,AJJ,21,,,
KQR,PNME,21,,,
HWH,BDC,21,,,
BPHB,R,21,,,
KMBL,JAM,21,,,
ROK,BGZ,21,,,
ROU,GP,21,,,
KYN,LNL,21,,,
VBL,VZM,21,,,
AWR,KRH,21,,,
CD,HGT,21,,,
WR,PLO,21,,,
RPH,BHP,21,,,
GGJ,ABP,21,,,
AKVD,BVRT,21,,,
VRI,ALU,21,,,
TLY,MAHE,21,,,
NOQ,KOJ,20,,,
PNP,SNP,20,,,
APR,SDL,20,,,
DNKL,BBS,20,,,
MSMD,R,20,,,
