HLD,BDO,20.35
HLD,TATA,21.62
HLB,LO,4.82
HLB,DIBL,8.46
SMDM,KLS,7.95
SMDM,MPA,9.85
STPD,SC,2.37
STPD,LGDH,2
STPD,STDI,0.45
STPD,ATC,1
DLDE,DPU,9.93
DLDE,DSR,8.73
SMDC,SWM,3.68
SMDC,RNT,6.31
STPT,DEL,3.61
STPT,BMD,5.59
SMDT,KVLR,4.41
SMDT,OML,6.93
SMDP,BWSN,2.99
SMDP,PM,3.53
PNDR,PTD,6
PNDR,NTN,4
PNDP,CKN,6.45
PNDP,KMT,9.32
PNDM,ICG,3.39
PNDM,TLNR,9.75
KTOA,DNRP,7.16
KTOA,RDD,10.06
SPL,PML,5.37
SPL,SWI,1.95
BAWA,MKSR,14.59
BAWA,BISH,6.29
SPN,BTRA,8.71
SPN,SZNR,3.81
SPN,SXK,1.02
BAWD,KBH,7.26
BAWD,DWD,6.82
DIVA,KOPR,4.4
DIVA,DTVL,2
DIVA,NIIJ,6
DIVA,MBQ,3.38
RLL,KDP,7.85
RLL,VRN,7.08
RLO,VML,5.36
RLO,JKO,11.64
EDA,TKYR,7.73
EDA,MJG,5.45
RLK,MEP,6.54
RLK,NAD,10.31
LMP,GK,34
LMP,HA,21
LMP,STP,46
LMP,KITN,5
LMP,DEO,8
RLD,PDGP,3
RLD,MSH,10
RLG,VPU,2.55
RLG,AL,4.68
RLA,DGJ,9
RLA,VVV,3.17
RLA,RJU,8
LMU,BIV,6
LMU,MFR,7
LMK,MAM,9.89
LMK,PPD,7.88
RLX,MGB,16.81
RLX,CCI,3.55
LMN,RCP,7.11
LMN,BBHL,9.66
EDU,VBU,8.96
EDU,KUTR,10.24
RLT,ASAF,7.38
RLT,SKZR,14.35
RLW,ASAF,7.59
RLW,RECH,6.14
LMC,DL,8.39
LMC,THAN,6.06
LMD,PDL,6.59
LMD,MYL,8.47
RLP,SOQ,8.83
RLP,KGX,9.83
RLS,AJTM,4.09
RLS,KKP,8.31
RLR,LMA,6.37
RLR,SSR,6.85
DPW,SMC,10
DPW,BTC,7
MOTA,PKNA,8.16
MOTA,TKRU,4.04
DPU,NLN,9.65
MOTC,RWL,6.68
MOTC,HW,11.38
DPS,PDPH,5.14
DPS,MLKA,10.13
BMNL,JDL,7.95
BMNL,DHRR,6.43
MOTG,BRCK,8.05
MOTG,JLHI,6.44
MOTH,NDK,11.59
MOTH,ERC,12.27
DPZ,SWM,10.85
DPZ,CKB,11
DPX,JAJ,7.14
DPX,GHR,4.29
DPE,HUP,10.78
DPE,VWA,6.37
DPD,VPG,3
DPD,GDV,7
DPC,PFU,10
DPC,GPJ,13
DPA,BSGD,5.19
DPA,SNGN,4.79
DPL,LKN,5
DPL,LAK,5.44
DPK,BUGL,3.91
DPJ,SZV,10.66
DPJ,PCV,21.78
DPI,MAP,6.99
DPI,DST,8.28
DPH,CHBT,3.06
DPH,USL,12.27
DPH,BSP,7.08
LD,GNJ,13.54
LD,SVTN,4.83
LD,TGT,11.64
LC,DAL,2.01
LC,ASH,2.41
LO,LHBK,7.41
KNYR,NRJ,9.33
KNYR,YDM,9.36
LM,BLDR,11.94
LM,CDA,9.97
LH,NCH,5.71
LH,SLX,6.41
LW,DISA,8.62
LW,BLDI,9.34
LT,DVL,11.22
LT,AV,8.72
LR,GEK,5.67
LR,MDJN,7.11
LS,SUM,13.9
LS,UGN,16.87
LP,MMH,4.45
LP,TIC,3.53
GBRA,JOX,5.43
GBRA,DKAE,2.48
SVNI,CPH,3.5
SVNI,BPRH,3.9
GBRI,CCO,7
GBRI,DGBZ,5
BYR,NIG,4.68
BYR,MIRA,3.35
CLDR,HCNR,10.43
CLDR,SGDP,11.28
GBRS,BTRA,2.24
GBRS,SZNR,2.66
SVNR,YLG,9
SVNR,KVS,8
BYN,SKRI,3.17
BYN,ASJP,2.21
PNQ,MGK,6.97
PNQ,TCR,2.01
PNQ,AMLR,5.49
PNP,DWNA,8.21
PNP,BBDE,6.39
PNU,UM,8.78
PNU,KRJD,5.93
PNU,CDQ,7.27
PNT,CHB,9
PNT,NTSK,9
PNW,RDF,9.87
PNW,DRGU,6.44
PNV,HSL,8.19
PNV,MMR,5.12
