1,59
2,1287
3,493
4,366
5,203
6,141
7,112
8,63
9,51
10,30
11,33
12,20
13,17
14,14
15,12
16,8
17,6
18,9
20,5
21,2
22,3
23,1
25,1
26,1
27,1
30,1
31,3
